Order_Id,Name,Month,Category,Quantity,Platform,State,District,MRP,Discount_percent,Discount ,Amount,Profit,,
ORD000001,Wireless Mouse,October,Fashion,3,Meesho,Karnataka,Pune,"? 5,071.00",22.05,22%,"? 11,858.53","? 4,252.03",,
ORD000002,Jeans,November,Home,4,Meesho,Tamil Nadu,Chennai,"? 7,882.00",23.78,24%,"? 24,030.64","? 8,266.64",,
ORD000003,Power Bank,February,Electronics,5,Flipkart,Tamil Nadu,Pune,"? 12,191.00",10.66,11%,"? 54,457.20","? 23,979.70",,
ORD000004,Gaming Keyboard,October,Electronics,3,Flipkart,Tamil Nadu,Kochi,"? 17,210.00",23.76,24%,"? 39,362.71","? 13,547.71",,
ORD000005,Wireless Mouse,October,Fashion,5,Meesho,Karnataka,Warangal,"? 19,729.00",17.28,17%,"? 81,599.14","? 32,276.64",,
ORD000006,Water Bottle,June,Fashion,5,Meesho,Maharashtra,Hyderabad,"? 6,590.00",26.22,26%,"? 24,310.51","? 7,835.51",,
ORD000007,Mixer Grinder,April,Electronics,1,Meesho,Karnataka,Bangalore,"? 9,556.00",28.28,28%,"? 6,853.56","? 2,075.56",,
ORD000008,Mobile Charger,March,Computer,2,Flipkart,Kerala,Salem,"? 12,288.00",26.92,27%,"? 17,960.14","? 5,672.14",,
ORD000009,Wireless Mouse,July,Home,2,Meesho,Karnataka,Bangalore,"? 6,138.00",15.67,16%,"? 10,352.35","? 4,214.35",,
ORD000010,Jeans,November,Computer,3,Meesho,Kerala,Salem,"? 11,627.00",28.89,29%,"? 24,803.88","? 7,363.38",,
ORD000011,Running Shoes,December,Computer,5,Meesho,Tamil Nadu,Pune,"? 3,261.00",9.94,10%,"? 14,684.28","? 6,531.78",,
ORD000012,Mixer Grinder,July,Fashion,1,Flipkart,Kerala,Warangal,"? 5,470.00",14,14%,"? 4,704.20","? 1,969.20",,
ORD000013,Smart Watch,July,Home,1,Meesho,Tamil Nadu,Salem,"? 14,026.00",17.47,17%,"? 11,575.66","? 4,562.66",,
ORD000014,Wireless Mouse,August,Electronics,4,Amazon,Karnataka,Warangal,"? 17,179.00",27.72,28%,"? 49,667.92","? 15,309.92",,
ORD000015,Running Shoes,September,Computer,1,Flipkart,Maharashtra,Warangal,"? 10,732.00",27.81,28%,"? 7,747.43","? 2,381.43",,
ORD000016,Desk Lamp,January,Electronics,5,Flipkart,Tamil Nadu,Pune,? 619.00,14.93,15%,"? 2,632.92","? 1,085.42",,
